Type,Content,LengthContent,Has-Link,IsSpam
sms,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,75,0,0
sms,"Subscribe to me for free Android games, apps.. ﻿",48,0,1
sms,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,82,0,1
sms,"Came here to check the views, goodbye.﻿",39,0,0
sms,sub my channel for no reason -_-﻿,33,0,1
sms,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",111,0,1
sms,2 billion....Coming soon﻿,25,0,0
sms,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,127,0,0
sms,Check my channel please! And listen to the best music ever :P﻿,62,0,1
sms,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,183,0,1
sms," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",337,0,1
sms,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",161,1,1
sms,YouTube/codytolleson for awesome videos I'll subscribe back ﻿,61,0,1
sms,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,82,0,1
sms,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,70,0,1
sms,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,62,1,1
sms,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",216,0,1
sms,....subscribe......  ......to my........  .....channel.......﻿,62,0,1
sms,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",74,0,0
sms,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,125,1,1
sms,go here to check the views :3﻿,30,0,0
sms,thumbs up if u checked this video to see hw views it got﻿,57,0,0
sms,Plz subscribe to my channel and I will subscribe back xx﻿,57,0,1
sms,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,72,0,0
sms,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,95,0,0
sms,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,116,1,1
sms,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,157,1,1
sms,Pls follow this channel!! http://www.twitch.tv/sevadus﻿,55,1,1
sms,hi guys check my youtube channel﻿,33,0,1
sms,Subscribe and like to me for more how to videos on minecraft!﻿,62,0,1
sms,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,65,1,1
sms,Subscribe ME!﻿,14,0,1
sms,Im just to check how much views it has﻿,39,0,0
sms,The first comment is chuck norrus ovbiously :D﻿,47,0,0
sms,Behold the most viewed youtube video in the history of ever﻿,60,0,0
sms,when is this gonna hit 2 billion?﻿,34,0,0
sms,the most viewed youtube video of all time?﻿,43,0,0
sms,"969,210 dislikes like dislike themselves﻿",41,0,0
sms,psy=korean﻿,11,0,0
sms,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",110,0,0
sms,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",215,0,0
sms,It's been back for quite a while now.,37,0,0
sms,2 Billions in 2014,18,0,0
sms,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,90,0,1
sms,Sub my channel!﻿,16,0,1
sms,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,94,1,1
sms,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,96,1,1
sms,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",115,0,1
sms,http://hackfbaccountlive.com/?ref=4604617﻿,42,1,1
sms,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",243,0,1
sms,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,145,1,1
sms,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",556,0,1
sms,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,47,1,1
sms,Admit it you just came here to check the number of viewers ﻿,60,0,0
sms,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",93,0,0
sms,Check my first video out﻿,25,0,1
sms,Check my channel﻿,17,0,1
sms,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,61,1,0
sms,Suscribe My Channel Please XD lol﻿,34,0,1
sms,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,86,0,0
sms,http://binbox.io/1FIRo#123﻿,27,1,1
sms,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,60,0,0
sms,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,90,1,1
sms,There is one video on my channel about my brother...﻿,53,0,1
sms,"Check my channel, please!﻿",26,0,1
sms,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",253,0,1
sms,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,167,0,0
sms,Plizz withing my channel ﻿,26,0,1
sms,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,60,0,1
sms,Please help me go here http://www.gofundme.com/littlebrother﻿,61,1,1
sms,Anybody who subscribes to me will get 10 subscribers﻿,53,0,1
sms,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,64,1,1
sms,"My videos are half way decent, check them out if you want.﻿",59,0,1
sms,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",106,0,0
sms,subscribe to itz recaps and above diddle﻿,41,0,1
sms,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,119,0,0
sms,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,50,1,1
sms,Sub to my channel visuelgamingzNL I sub back﻿,45,0,1
sms,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,123,0,1
sms,sub me if you dont like the song﻿,33,0,1
sms,This is a weird video.﻿,23,0,0
sms,8 million likes xD even the subscribers not 8 million xD﻿,57,0,0
sms,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,111,0,1
sms,Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,239,0,1
sms,This song never gets old love it.﻿,34,0,0
sms,gofundme.com/grwmps﻿,20,0,1
sms,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",142,1,1
sms,#2012bitches﻿,13,0,0
sms,Made in china....﻿,18,0,0
sms,5 milions comentars and 2 bilion views﻿,39,0,0
sms,It is 0 zero﻿,13,0,0
sms,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,71,0,0
sms,This has had over 2 billion views.  Holy shit.﻿,47,0,0
sms,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",123,0,0
sms,Suscribe my channel please﻿,27,0,1
sms,"2,124923004 wiews... wow﻿",25,0,0
sms,guys please subscribe me to help my channel grow please guys﻿,61,0,1
sms,Great music anyway﻿,19,0,0
sms,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,61,1,0
sms,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",78,0,0
sms,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,81,1,1
sms,"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",389,0,1
sms,Can somebody wake me up when we get to 3 billion views.﻿,56,0,0
sms,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,109,0,0
sms,Justin bieber = gay ﻿,21,0,0
sms,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,149,0,0
sms,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,21,0,0
sms,"Ahhh, 2 years ago....﻿",22,0,0
sms,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",64,1,1
sms,"check out ""starlitnightsky"" channel to see epic videos﻿",55,0,1
sms,https://www.tsu.co/KodysMan plz ^^﻿,35,1,1
sms,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,85,0,0
sms,http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,74,1,1
sms,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,86,0,1
sms,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,91,1,1
sms,Add me here...https://www.facebook.com/TLouXmusic﻿,50,1,1
sms,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,49,0,1
sms,I think this is now a place to promote channels in the comment section lol.﻿,76,0,0
sms,Get free gift cards and pay pal money!﻿,39,0,1
sms,Check out pivot animations in my channel﻿,41,0,1
sms,Follow me on twitter &amp; IG : __killuminati94﻿,48,0,1
sms,Check me out I'm all about gaming ﻿,35,0,1
sms,Oppa! Yeah! Best Song!﻿,23,0,0
sms,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,63,1,1
sms,https://www.facebook.com/teeLaLaLa﻿,35,1,1
sms,http://www.twitch.tv/zxlightsoutxz﻿,35,1,1
sms,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,74,1,1
sms,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,79,1,1
sms,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",47,0,1
sms,Follow me on Twitter @mscalifornia95﻿,37,0,1
sms,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,95,0,0
sms,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,75,0,0
sms,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,61,0,1
sms,Incmedia.org where the truth meets you.﻿,40,0,1
sms,look at my channel i make minecraft pe lets play ﻿,50,0,1
sms,I found out this song now﻿,26,0,0
sms,2 BILLION!!!﻿,13,0,0
sms,Song name??﻿,12,0,0
sms,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,73,1,1
sms,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,104,0,1
sms,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,163,1,1
sms,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",117,0,0
sms,Subscribe to me and I'll subscribe back!!!﻿,43,0,1
sms,http://flipagram.com/f/LUkA1QMrhF﻿,34,1,1
sms,For Christmas Song visit my channel! ;)﻿,40,0,1
sms,http://www.gofundme.com/gvr7xg﻿,31,1,1
sms,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,64,0,1
sms,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,78,1,1
sms,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,58,1,1
sms,https://www.surveymonkey.com/s/CVHMKLT﻿,39,1,1
sms,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,102,0,1
sms,Please subscribe to me﻿,23,0,1
sms,"This is the best, funny and viral video of history (youtube) THE TRUE﻿",70,0,0
sms,Please check out my vidios﻿,27,0,1
sms,OPPA GANGNAM STYLE!!!﻿,22,0,0
sms,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",97,0,0
sms,OPPA &lt;3﻿,11,0,0
sms,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,54,0,0
sms,most viewed video in the world﻿,31,0,0
sms,I'm here to check the views.. holy shit﻿,40,0,0
sms,"Dear person reading this, You are beautiful and loving Have a great day﻿",72,0,0
sms,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,271,1,1
sms,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,221,1,1
sms,The Guy in the yellow suit kinda looks like Jae-suk ﻿,53,0,0
sms,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",336,1,1
sms,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,110,0,0
sms,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,51,0,0
sms,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,110,0,0
sms,What is he saying?!?!?!?!?!?!?!?$? ﻿,36,0,0
sms,this has so many views﻿,23,0,0
sms,OMG over 2 billion views!﻿,26,0,0
sms,Subscribe to me plz plz plz plz plz plZ ﻿,41,0,1
sms,http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,197,1,1
sms,"i am 2,126,492,636 viewer :D﻿",29,0,0
sms,https://www.tsu.co/Aseris get money here !﻿,43,1,1
sms,Fantastic!﻿,11,0,0
sms,The population of world is more than 7 billion﻿,47,0,0
sms,2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,38,0,0
sms,Wow 23 min ago﻿,15,0,0
sms,SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,50,0,0
sms,P E A C E  &amp;  L O V E  ! !﻿,31,0,0
sms,How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,101,0,0
sms,Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,90,1,1
sms,subscribe to me :) ﻿,20,0,1
sms,Still the best. :D﻿,19,0,0
sms,The most liked video on YouTube...﻿,35,0,0
sms,Still watching this 2 years later? ﻿,36,0,0
sms,"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",252,0,1
sms,"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",66,0,0
sms,2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,82,0,0
sms,GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,44,0,0
sms,Will this song ever reach 7 Billion Views?﻿,43,0,0
sms,"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",106,0,1
sms,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",81,0,0
sms,"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",92,0,0
sms,Can anyone sub to my channel? :D﻿,33,0,1
sms,prehistoric song..has been﻿,27,0,0
sms,You think you're smart?        Headbutt your face.﻿,51,0,0
sms,DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,49,0,0
sms,Loool nice song funny how no one understands (me) and we love it﻿,65,0,0
sms,Like if you came here too see how many views this song has.﻿,60,0,0
sms,We pray for you Little Psy ♡﻿,29,0,0
sms,"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",77,0,0
sms, Follow me on Instagram. _chris_cz  ﻿,37,0,1
sms,how is this shit still relevant ﻿,33,0,0
sms,LOL this shit never gets old﻿,29,0,0
sms,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,121,0,0
sms,On 0:02 u can see the camera man on his glasses....﻿,52,0,0
sms,this comment is wrong﻿,22,0,0
sms,i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,81,0,0
sms,2:05. Hahahahah ﻿,17,0,0
sms,Can we reach 3 billion views by December 2014? ﻿,48,0,0
sms,"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",142,0,0
sms,"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",186,0,0
sms,The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿,91,0,0
sms,why I dont see any comments but mine?:/﻿,40,0,0
sms,this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,234,0,0
sms,I remember when everyone was obsessed with Gangnam Style 😗﻿,59,0,0
sms,Remove This video its wank﻿,27,0,0
sms,"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",362,1,1
sms,"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",93,0,0
sms,MANY MEMORIES...........﻿,25,0,0
sms,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,119,0,0
sms,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",136,0,0
sms,"This video is so cool, again and again!﻿",40,0,0
sms,I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,85,0,0
sms,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",227,0,0
sms,With the korean girl more slut and bitch : Hyuna :'33﻿,54,0,0
sms,Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,132,0,1
sms,Still a very fun music video to watch! ﻿,40,0,0
sms,C'mon 3 billion views!!!!!!!!﻿,30,0,0
sms,"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿",145,0,1
sms,"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",753,0,0
sms,subscribe my chanel﻿,20,0,1
sms,"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",72,0,0
sms,LoL﻿,4,0,0
sms,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,112,0,0
sms,"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿",101,0,0
sms,PSY is a good guy﻿,18,0,0
sms,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,60,0,0
sms,https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,67,1,1
sms,1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,65,0,0
sms,The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,116,0,0
sms,For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,148,0,0
sms,How stupid humanity is﻿,23,0,0
sms,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,74,0,1
sms,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,100,0,0
sms,"We get it, you came here for the views... ﻿",43,0,0
sms,Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,120,0,0
sms,"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿",104,1,1
sms,"This song is great there are 2,127,315,950 views wow﻿",53,0,0
sms,I'm watching this in 2014﻿,26,0,0
sms,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,103,0,0
sms,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",91,0,0
sms,What my gangnam style﻿,22,0,0
sms,Lol this youtuber (officialpsy) is getting so much money lol﻿,61,0,0
sms,1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,52,0,0
sms,"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",119,0,0
sms,"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",152,0,0
sms,"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿",127,0,1
sms,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,170,0,1
sms,YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,38,0,0
sms,2 billion for this shit?﻿,25,0,0
sms,"2 billion views, only 2 million shares﻿",39,0,0
sms,Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,169,0,1
sms,If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,73,0,1
sms,follower please https://www.facebook.com/lists/161620527267482﻿,63,1,1
sms,2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,103,0,0
sms,If i reach 100 subscribers i will tazz my self and my friend﻿,61,0,1
sms,Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,145,1,1
